/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
2025-11-16 14:02:57,739 - INFO - fetching guardian page 1 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 14:02:59,421 - INFO - fetching guardian page 2 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 14:03:01,175 - INFO - fetching guardian page 3 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 14:03:02,994 - INFO - fetching guardian page 4 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 14:03:03,662 - INFO - fetched 23 relevant articles for Australia after filtering
2025-11-16 14:03:04,765 - INFO - fetching guardian page 1 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 14:03:06,400 - INFO - fetching guardian page 2 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 14:03:08,101 - INFO - fetching guardian page 3 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 14:03:09,832 - INFO - fetching guardian page 4 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 14:03:10,590 - INFO - fetched 32 relevant articles for Australia after filtering
2025-11-16 14:03:11,697 - INFO - fetching guardian page 1 for Australia (2015-10-01 to 2015-12-31)
2025-11-16 14:03:13,620 - INFO - fetching guardian page 2 for Australia (2015-10-01 to 2015-12-31)
2025-11-16 14:03:14,324 - INFO - fetched 17 relevant articles for Australia after filtering
2025-11-16 14:03:15,428 - INFO - ✓ completed Australia 2015 (101 articles)
2025-11-16 14:03:15,428 - INFO - using guardian api for Australia 2016
2025-11-16 14:03:15,428 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:03:15,428 - INFO - fetching guardian page 1 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 14:03:17,135 - INFO - fetching guardian page 2 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 14:03:18,840 - INFO - fetching guardian page 3 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 14:03:19,500 - INFO - fetched 18 relevant articles for Australia after filtering
2025-11-16 14:03:20,607 - INFO - fetching guardian page 1 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 14:03:22,236 - INFO - fetching guardian page 2 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 14:03:23,986 - INFO - fetching guardian page 3 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 14:03:26,026 - INFO - fetching guardian page 4 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 14:03:26,637 - INFO - fetched 26 relevant articles for Australia after filtering
2025-11-16 14:03:27,742 - INFO - fetching guardian page 1 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 14:03:29,395 - INFO - fetching guardian page 2 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 14:03:31,093 - INFO - fetching guardian page 3 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 14:03:31,860 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 14:03:32,967 - INFO - fetching guardian page 1 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 14:03:34,626 - INFO - fetching guardian page 2 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 14:03:36,357 - INFO - fetching guardian page 3 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 14:03:37,198 - INFO - fetched 16 relevant articles for Australia after filtering
2025-11-16 14:03:38,304 - INFO - ✓ completed Australia 2016 (81 articles)
2025-11-16 14:03:38,304 - INFO - using guardian api for Brazil 2010
2025-11-16 14:03:38,304 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:03:38,304 - INFO - fetching guardian page 1 for Brazil (2010-01-01 to 2010-03-31)
2025-11-16 14:03:38,778 - INFO - fetched 2 relevant articles for Brazil after filtering
2025-11-16 14:03:39,884 - INFO - fetching guardian page 1 for Brazil (2010-04-01 to 2010-06-30)
2025-11-16 14:03:40,394 - INFO - fetched 3 relevant articles for Brazil after filtering
2025-11-16 14:03:41,497 - INFO - fetching guardian page 1 for Brazil (2010-07-01 to 2010-09-30)
2025-11-16 14:03:42,087 - INFO - fetched 1 relevant articles for Brazil after filtering
2025-11-16 14:03:43,191 - INFO - fetching guardian page 1 for Brazil (2010-10-01 to 2010-12-31)
2025-11-16 14:03:43,800 - INFO - fetched 3 relevant articles for Brazil after filtering
2025-11-16 14:03:44,904 - INFO - ✓ completed Brazil 2010 (69 articles)
2025-11-16 14:03:44,904 - INFO - using guardian api for Brazil 2011
2025-11-16 14:03:44,904 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:03:44,904 - INFO - fetching guardian page 1 for Brazil (2011-01-01 to 2011-03-31)
2025-11-16 14:03:45,403 - INFO - fetched 2 relevant articles for Brazil after filtering
2025-11-16 14:03:46,509 - INFO - fetching guardian page 1 for Brazil (2011-04-01 to 2011-06-30)
2025-11-16 14:03:47,010 - INFO - fetched 10 relevant articles for Brazil after filtering
2025-11-16 14:03:48,114 - INFO - fetching guardian page 1 for Brazil (2011-07-01 to 2011-09-30)
2025-11-16 14:03:48,674 - INFO - fetched 4 relevant articles for Brazil after filtering
2025-11-16 14:03:49,780 - INFO - fetching guardian page 1 for Brazil (2011-10-01 to 2011-12-31)
2025-11-16 14:03:50,350 - INFO - fetched 6 relevant articles for Brazil after filtering
2025-11-16 14:03:51,454 - INFO - ✓ completed Brazil 2011 (56 articles)
2025-11-16 14:03:51,454 - INFO - using guardian api for Brazil 2012
2025-11-16 14:03:51,454 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:03:51,454 - INFO - fetching guardian page 1 for Brazil (2012-01-01 to 2012-03-31)
2025-11-16 14:03:52,080 - INFO - fetched 6 relevant articles for Brazil after filtering
2025-11-16 14:03:53,187 - INFO - fetching guardian page 1 for Brazil (2012-04-01 to 2012-06-30)
2025-11-16 14:03:53,769 - INFO - fetched 8 relevant articles for Brazil after filtering
2025-11-16 14:03:54,874 - INFO - fetching guardian page 1 for Brazil (2012-07-01 to 2012-09-30)
2025-11-16 14:03:55,378 - INFO - fetched 5 relevant articles for Brazil after filtering
2025-11-16 14:03:56,483 - INFO - fetching guardian page 1 for Brazil (2012-10-01 to 2012-12-31)
2025-11-16 14:03:57,073 - INFO - fetched 2 relevant articles for Brazil after filtering
2025-11-16 14:03:58,181 - INFO - ✓ completed Brazil 2012 (46 articles)
2025-11-16 14:03:58,181 - INFO - using guardian api for Brazil 2013
2025-11-16 14:03:58,181 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:03:58,181 - INFO - fetching guardian page 1 for Brazil (2013-01-01 to 2013-03-31)
2025-11-16 14:03:58,805 - INFO - fetched 7 relevant articles for Brazil after filtering
2025-11-16 14:03:59,912 - INFO - fetching guardian page 1 for Brazil (2013-04-01 to 2013-06-30)
2025-11-16 14:04:01,560 - INFO - fetching guardian page 2 for Brazil (2013-04-01 to 2013-06-30)
2025-11-16 14:04:02,146 - INFO - fetched 7 relevant articles for Brazil after filtering
2025-11-16 14:04:03,253 - INFO - fetching guardian page 1 for Brazil (2013-07-01 to 2013-09-30)
2025-11-16 14:04:04,888 - INFO - fetching guardian page 2 for Brazil (2013-07-01 to 2013-09-30)
2025-11-16 14:04:05,436 - INFO - fetched 7 relevant articles for Brazil after filtering
2025-11-16 14:04:06,540 - INFO - fetching guardian page 1 for Brazil (2013-10-01 to 2013-12-31)
2025-11-16 14:04:08,148 - INFO - fetching guardian page 2 for Brazil (2013-10-01 to 2013-12-31)
2025-11-16 14:04:08,773 - INFO - fetched 6 relevant articles for Brazil after filtering
2025-11-16 14:04:09,878 - INFO - ✓ completed Brazil 2013 (80 articles)
2025-11-16 14:04:09,878 - INFO - using guardian api for Brazil 2014
2025-11-16 14:04:09,878 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:04:09,878 - INFO - fetching guardian page 1 for Brazil (2014-01-01 to 2014-03-31)
2025-11-16 14:04:11,636 - INFO - fetching guardian page 2 for Brazil (2014-01-01 to 2014-03-31)
2025-11-16 14:04:12,111 - INFO - fetched 4 relevant articles for Brazil after filtering
2025-11-16 14:04:13,217 - INFO - fetching guardian page 1 for Brazil (2014-04-01 to 2014-06-30)
2025-11-16 14:04:14,842 - INFO - fetching guardian page 2 for Brazil (2014-04-01 to 2014-06-30)
2025-11-16 14:04:16,598 - INFO - fetching guardian page 3 for Brazil (2014-04-01 to 2014-06-30)
2025-11-16 14:04:17,133 - INFO - fetched 19 relevant articles for Brazil after filtering
2025-11-16 14:04:18,236 - INFO - fetching guardian page 1 for Brazil (2014-07-01 to 2014-09-30)
2025-11-16 14:04:19,893 - INFO - fetching guardian page 2 for Brazil (2014-07-01 to 2014-09-30)
2025-11-16 14:04:20,498 - INFO - fetched 2 relevant articles for Brazil after filtering
2025-11-16 14:04:21,601 - INFO - fetching guardian page 1 for Brazil (2014-10-01 to 2014-12-31)
2025-11-16 14:04:23,226 - INFO - fetching guardian page 2 for Brazil (2014-10-01 to 2014-12-31)
2025-11-16 14:04:23,840 - INFO - fetched 8 relevant articles for Brazil after filtering
2025-11-16 14:04:24,943 - INFO - ✓ completed Brazil 2014 (106 articles)
2025-11-16 14:04:24,944 - INFO - using guardian api for Brazil 2015
2025-11-16 14:04:24,944 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:04:24,944 - INFO - fetching guardian page 1 for Brazil (2015-01-01 to 2015-03-31)
2025-11-16 14:04:26,607 - INFO - fetching guardian page 2 for Brazil (2015-01-01 to 2015-03-31)
2025-11-16 14:04:27,129 - INFO - fetched 13 relevant articles for Brazil after filtering
2025-11-16 14:04:28,231 - INFO - fetching guardian page 1 for Brazil (2015-04-01 to 2015-06-30)
2025-11-16 14:04:29,991 - INFO - fetching guardian page 2 for Brazil (2015-04-01 to 2015-06-30)
2025-11-16 14:04:30,550 - INFO - fetched 22 relevant articles for Brazil after filtering
2025-11-16 14:04:31,658 - INFO - fetching guardian page 1 for Brazil (2015-07-01 to 2015-09-30)
2025-11-16 14:04:33,343 - INFO - fetching guardian page 2 for Brazil (2015-07-01 to 2015-09-30)
2025-11-16 14:04:33,850 - INFO - fetched 17 relevant articles for Brazil after filtering
2025-11-16 14:04:34,954 - INFO - fetching guardian page 1 for Brazil (2015-10-01 to 2015-12-31)
2025-11-16 14:04:36,579 - INFO - fetching guardian page 2 for Brazil (2015-10-01 to 2015-12-31)
2025-11-16 14:04:37,274 - INFO - fetched 17 relevant articles for Brazil after filtering
2025-11-16 14:04:38,378 - INFO - ✓ completed Brazil 2015 (170 articles)
2025-11-16 14:04:38,378 - INFO - using guardian api for Brazil 2016
2025-11-16 14:04:38,378 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:04:38,378 - INFO - fetching guardian page 1 for Brazil (2016-01-01 to 2016-03-31)
2025-11-16 14:04:39,994 - INFO - fetching guardian page 2 for Brazil (2016-01-01 to 2016-03-31)
2025-11-16 14:04:40,680 - INFO - fetched 28 relevant articles for Brazil after filtering
2025-11-16 14:04:41,787 - INFO - fetching guardian page 1 for Brazil (2016-04-01 to 2016-06-30)
2025-11-16 14:04:43,499 - INFO - fetching guardian page 2 for Brazil (2016-04-01 to 2016-06-30)
2025-11-16 14:04:44,094 - INFO - fetched 15 relevant articles for Brazil after filtering
2025-11-16 14:04:45,201 - INFO - fetching guardian page 1 for Brazil (2016-07-01 to 2016-09-30)
2025-11-16 14:04:46,885 - INFO - fetching guardian page 2 for Brazil (2016-07-01 to 2016-09-30)
2025-11-16 14:04:47,601 - INFO - fetched 18 relevant articles for Brazil after filtering
2025-11-16 14:04:48,709 - INFO - fetching guardian page 1 for Brazil (2016-10-01 to 2016-12-31)
2025-11-16 14:04:49,354 - INFO - fetched 13 relevant articles for Brazil after filtering
2025-11-16 14:04:50,459 - INFO - ✓ completed Brazil 2016 (155 articles)
2025-11-16 14:04:50,459 - INFO - using guardian api for Canada 2010
2025-11-16 14:04:50,459 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:04:50,459 - INFO - fetching guardian page 1 for Canada (2010-01-01 to 2010-03-31)
2025-11-16 14:04:50,955 - INFO - fetched 6 relevant articles for Canada after filtering
2025-11-16 14:04:52,058 - INFO - fetching guardian page 1 for Canada (2010-04-01 to 2010-06-30)
2025-11-16 14:04:52,545 - INFO - fetched 4 relevant articles for Canada after filtering
2025-11-16 14:04:53,651 - INFO - fetching guardian page 1 for Canada (2010-07-01 to 2010-09-30)
2025-11-16 14:04:54,205 - INFO - fetched 2 relevant articles for Canada after filtering
2025-11-16 14:04:55,309 - INFO - fetching guardian page 1 for Canada (2010-10-01 to 2010-12-31)
2025-11-16 14:04:55,914 - INFO - fetched 3 relevant articles for Canada after filtering
2025-11-16 14:04:57,019 - INFO - ✓ completed Canada 2010 (84 articles)
2025-11-16 14:04:57,019 - INFO - using guardian api for Canada 2011
2025-11-16 14:04:57,019 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:04:57,019 - INFO - fetching guardian page 1 for Canada (2011-01-01 to 2011-03-31)
